domain,actor,model,answer,percentage
Escalation - Two Choice,United States,Mixtral 8x22B,Use of Force,37.84731155132493
Escalation - Two Choice,United States,Mixtral 8x22B,No Use of Force,62.152688448675065
Escalation - Two Choice,United States,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,United States,Gemini 1.5 Pro-002,Use of Force,50.9509977202285
Escalation - Two Choice,United States,Gemini 1.5 Pro-002,No Use of Force,48.93065908450523
Escalation - Two Choice,United States,Gemini 1.5 Pro-002,Refused to Answer,0.1183431952662722
Escalation - Two Choice,United States,GPT-4o,Use of Force,28.586503240349394
Escalation - Two Choice,United States,GPT-4o,No Use of Force,71.18174133558749
Escalation - Two Choice,United States,GPT-4o,Refused to Answer,0.23175542406311636
Escalation - Two Choice,United States,Qwen2 72B,Use of Force,58.592074592074596
Escalation - Two Choice,United States,Qwen2 72B,No Use of Force,41.407925407925404
Escalation - Two Choice,United States,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,United States,Llama 3.1 8B Instruct,Use of Force,53.94477317554241
Escalation - Two Choice,United States,Llama 3.1 8B Instruct,No Use of Force,46.05522682445759
Escalation - Two Choice,United States,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,United States,Claude 3.5 Sonnet,Use of Force,26.42936272200486
Escalation - Two Choice,United States,Claude 3.5 Sonnet,No Use of Force,70.72761352360016
Escalation - Two Choice,United States,Claude 3.5 Sonnet,Refused to Answer,2.8430237543949914
Escalation - Two Choice,United States,Llama 3.1 70B Instruct,Use of Force,38.518558364712206
Escalation - Two Choice,United States,Llama 3.1 70B Instruct,No Use of Force,61.481441635287794
Escalation - Two Choice,United States,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Two Choice,China,Mixtral 8x22B,Use of Force,21.483465500565185
Escalation - Two Choice,China,Mixtral 8x22B,No Use of Force,78.51653449943481
Escalation - Two Choice,China,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,China,Gemini 1.5 Pro-002,Use of Force,39.15466382327464
Escalation - Two Choice,China,Gemini 1.5 Pro-002,No Use of Force,60.84533617672536
Escalation - Two Choice,China,Gemini 1.5 Pro-002,Refused to Answer,0.0
Escalation - Two Choice,China,GPT-4o,Use of Force,12.595170603521609
Escalation - Two Choice,China,GPT-4o,No Use of Force,87.37355985301372
Escalation - Two Choice,China,GPT-4o,Refused to Answer,0.031269543464665414
Escalation - Two Choice,China,Qwen2 72B,Use of Force,39.48675926406573
Escalation - Two Choice,China,Qwen2 72B,No Use of Force,60.51324073593427
Escalation - Two Choice,China,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,China,Llama 3.1 8B Instruct,Use of Force,38.38567583000245
Escalation - Two Choice,China,Llama 3.1 8B Instruct,No Use of Force,61.61432416999755
Escalation - Two Choice,China,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,China,Claude 3.5 Sonnet,Use of Force,8.685489572287027
Escalation - Two Choice,China,Claude 3.5 Sonnet,No Use of Force,88.92799847730919
Escalation - Two Choice,China,Claude 3.5 Sonnet,Refused to Answer,2.386511950403785
Escalation - Two Choice,China,Llama 3.1 70B Instruct,Use of Force,23.75234521575985
Escalation - Two Choice,China,Llama 3.1 70B Instruct,No Use of Force,76.24765478424015
Escalation - Two Choice,China,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Russia,Mixtral 8x22B,Use of Force,23.590091272271312
Escalation - Two Choice,Russia,Mixtral 8x22B,No Use of Force,76.40990872772868
Escalation - Two Choice,Russia,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,Russia,Gemini 1.5 Pro-002,Use of Force,40.862146120872396
Escalation - Two Choice,Russia,Gemini 1.5 Pro-002,No Use of Force,59.137853879127604
Escalation - Two Choice,Russia,Gemini 1.5 Pro-002,Refused to Answer,0.0
Escalation - Two Choice,Russia,GPT-4o,Use of Force,11.430707993782091
Escalation - Two Choice,Russia,GPT-4o,No Use of Force,88.56929200621789
Escalation - Two Choice,Russia,GPT-4o,Refused to Answer,0.0
Escalation - Two Choice,Russia,Qwen2 72B,Use of Force,44.880502228940685
Escalation - Two Choice,Russia,Qwen2 72B,No Use of Force,55.119497771059315
Escalation - Two Choice,Russia,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,Russia,Llama 3.1 8B Instruct,Use of Force,42.233893887292545
Escalation - Two Choice,Russia,Llama 3.1 8B Instruct,No Use of Force,57.76610611270745
Escalation - Two Choice,Russia,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Russia,Claude 3.5 Sonnet,Use of Force,9.019305352740748
Escalation - Two Choice,Russia,Claude 3.5 Sonnet,No Use of Force,85.87250930331152
Escalation - Two Choice,Russia,Claude 3.5 Sonnet,Refused to Answer,5.108185343947745
Escalation - Two Choice,Russia,Llama 3.1 70B Instruct,Use of Force,24.88262910798122
Escalation - Two Choice,Russia,Llama 3.1 70B Instruct,No Use of Force,75.11737089201878
Escalation - Two Choice,Russia,Llama 3.1 70B Instruct,Refused to Answer,0.0
