domain,model,answer,percentage
Escalation - Two Choice,Mixtral 8x22B,No Use of Force,71.66426397648861
Escalation - Two Choice,Gemini 1.5 Pro-002,No Use of Force,58.771993038285146
Escalation - Two Choice,GPT-4o,No Use of Force,83.26985909132502
Escalation - Two Choice,Qwen2 72B,No Use of Force,55.09001804132014
Escalation - Two Choice,Llama 3.1 8B Instruct,No Use of Force,54.883161212748
Escalation - Two Choice,Claude 3.5 Sonnet,No Use of Force,80.45163050181851
Escalation - Two Choice,Llama 3.1 70B Instruct,No Use of Force,70.07116275410326
Escalation - Two Choice,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,Gemini 1.5 Pro-002,Refused to Answer,0.5775641025641025
Escalation - Two Choice,GPT-4o,Refused to Answer,0.3856643356643357
Escalation - Two Choice,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Claude 3.5 Sonnet,Refused to Answer,2.636861879539225
Escalation - Two Choice,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Mixtral 8x22B,Use of Force,28.33573602351138
Escalation - Two Choice,Gemini 1.5 Pro-002,Use of Force,40.65044285915075
Escalation - Two Choice,GPT-4o,Use of Force,16.34447657301065
Escalation - Two Choice,Qwen2 72B,Use of Force,44.90998195867986
Escalation - Two Choice,Llama 3.1 8B Instruct,Use of Force,45.116838787252
Escalation - Two Choice,Claude 3.5 Sonnet,Use of Force,16.911507618642244
Escalation - Two Choice,Llama 3.1 70B Instruct,Use of Force,29.928837245896744
Escalation - Three Choice,GPT-4o,No Use of Force,63.026936471953654
Escalation - Three Choice,Mixtral 8x22B,No Use of Force,42.68500854310437
Escalation - Three Choice,Claude 3.5 Sonnet,No Use of Force,68.76186993834054
Escalation - Three Choice,Llama 3.1 8B Instruct,No Use of Force,36.91104284241539
Escalation - Three Choice,Qwen2 72B,No Use of Force,43.75280255460162
Escalation - Three Choice,Llama 3.1 70B Instruct,No Use of Force,43.5975135975136
Escalation - Three Choice,Gemini 1.5 Pro-002,No Use of Force,31.01828948402629
Escalation - Three Choice,GPT-4o,Refused to Answer,0.005027652086475615
Escalation - Three Choice,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Three Choice,Claude 3.5 Sonnet,Refused to Answer,0.6485018249724132
Escalation - Three Choice,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Three Choice,Qwen2 72B,Refused to Answer,0.0
Escalation - Three Choice,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Three Choice,Gemini 1.5 Pro-002,Refused to Answer,0.0012569130216189038
Escalation - Three Choice,GPT-4o,Threat of Force,31.12311463888177
Escalation - Three Choice,Mixtral 8x22B,Threat of Force,42.86513303644898
Escalation - Three Choice,Claude 3.5 Sonnet,Threat of Force,21.22659294227922
Escalation - Three Choice,Llama 3.1 8B Instruct,Threat of Force,21.730083641848346
Escalation - Three Choice,Qwen2 72B,Threat of Force,22.78543660512091
Escalation - Three Choice,Llama 3.1 70B Instruct,Threat of Force,41.40207831384301
Escalation - Three Choice,Gemini 1.5 Pro-002,Threat of Force,54.87813435357402
Escalation - Three Choice,GPT-4o,Use of Force,5.8449212370781
Escalation - Three Choice,Mixtral 8x22B,Use of Force,14.449858420446654
Escalation - Three Choice,Claude 3.5 Sonnet,Use of Force,9.363035294407842
Escalation - Three Choice,Llama 3.1 8B Instruct,Use of Force,41.35887351573626
Escalation - Three Choice,Qwen2 72B,Use of Force,33.461760840277464
Escalation - Three Choice,Llama 3.1 70B Instruct,Use of Force,15.000408088643384
Escalation - Three Choice,Gemini 1.5 Pro-002,Use of Force,14.102319249378072
Cooperation,Claude 3.5 Sonnet,Refused to Answer,0.31075123706702645
Cooperation,GPT-4o,Refused to Answer,0.3
Cooperation,Mixtral 8x22B,Refused to Answer,0.0
Cooperation,Qwen2 72B,Refused to Answer,0.0
Cooperation,Llama 3.1 8B Instruct,Refused to Answer,0.0
Cooperation,Llama 3.1 70B Instruct,Refused to Answer,0.0
Cooperation,Gemini 1.5 Pro-002,Refused to Answer,0.71492673992674
Cooperation,Claude 3.5 Sonnet,Non-cooperative,7.964578901581469
Cooperation,GPT-4o,Non-cooperative,15.14125757198257
Cooperation,Mixtral 8x22B,Non-cooperative,16.51424774199542
Cooperation,Qwen2 72B,Non-cooperative,9.309142575313382
Cooperation,Llama 3.1 8B Instruct,Non-cooperative,18.585943506957438
Cooperation,Llama 3.1 70B Instruct,Non-cooperative,15.592123266310573
